7.3968 10000000 1000000 1 
7.3496 10000000 1000000 1 
7.3374 10000000 1000000 1 
7.3472 10000000 1000000 1 
7.3589 10000000 1000000 1 
7.3520 10000000 1000000 1 
7.3629 10000000 1000000 1 
7.3471 10000000 1000000 1 
7.3450 10000000 1000000 1 
7.3480 10000000 1000000 1 
3.9051 10000000 1000000 2 
3.8860 10000000 1000000 2 
3.8985 10000000 1000000 2 
3.9011 10000000 1000000 2 
3.8999 10000000 1000000 2 
3.8341 10000000 1000000 2 
3.9009 10000000 1000000 2 
3.8879 10000000 1000000 2 
3.8471 10000000 1000000 2 
3.8982 10000000 1000000 2 
3.8131 10000000 1000000 4 
3.8143 10000000 1000000 4 
3.8295 10000000 1000000 4 
3.8071 10000000 1000000 4 
3.8123 10000000 1000000 4 
3.8113 10000000 1000000 4 
3.8090 10000000 1000000 4 
3.8318 10000000 1000000 4 
3.8835 10000000 1000000 4 
3.8139 10000000 1000000 4 
3.8216 10000000 1000000 8 
3.8344 10000000 1000000 8 
3.8154 10000000 1000000 8 
3.8168 10000000 1000000 8 
3.8204 10000000 1000000 8 
3.8468 10000000 1000000 8 
3.8250 10000000 1000000 8 
3.8440 10000000 1000000 8 
3.8245 10000000 1000000 8 
3.8066 10000000 1000000 8 
3.8271 10000000 1000000 16 
3.8337 10000000 1000000 16 
3.8147 10000000 1000000 16 
3.8213 10000000 1000000 16 
3.8364 10000000 1000000 16 
3.8759 10000000 1000000 16 
3.8212 10000000 1000000 16 
3.9192 10000000 1000000 16 
3.8208 10000000 1000000 16 
3.8285 10000000 1000000 16 
