7.7213 10000000 500000 1 
7.7533 10000000 500000 1 
7.7875 10000000 500000 1 
7.7979 10000000 500000 1 
7.7143 10000000 500000 1 
7.7520 10000000 500000 1 
7.7802 10000000 500000 1 
7.7188 10000000 500000 1 
7.7622 10000000 500000 1 
7.7203 10000000 500000 1 
5.0144 10000000 500000 2 
5.1376 10000000 500000 2 
5.0675 10000000 500000 2 
5.1369 10000000 500000 2 
5.0761 10000000 500000 2 
5.0346 10000000 500000 2 
5.0347 10000000 500000 2 
5.0667 10000000 500000 2 
5.1706 10000000 500000 2 
5.0895 10000000 500000 2 
5.0081 10000000 500000 4 
5.0121 10000000 500000 4 
4.9761 10000000 500000 4 
5.0334 10000000 500000 4 
5.0373 10000000 500000 4 
4.9964 10000000 500000 4 
5.0924 10000000 500000 4 
4.9485 10000000 500000 4 
5.0489 10000000 500000 4 
4.9980 10000000 500000 4 
4.9476 10000000 500000 8 
5.0275 10000000 500000 8 
5.0354 10000000 500000 8 
4.9923 10000000 500000 8 
5.0940 10000000 500000 8 
4.9842 10000000 500000 8 
5.0423 10000000 500000 8 
4.9921 10000000 500000 8 
4.9083 10000000 500000 8 
4.9814 10000000 500000 8 
5.1090 10000000 500000 16 
5.0286 10000000 500000 16 
4.9434 10000000 500000 16 
5.0924 10000000 500000 16 
4.9395 10000000 500000 16 
4.9731 10000000 500000 16 
4.9801 10000000 500000 16 
4.9704 10000000 500000 16 
4.9853 10000000 500000 16 
5.0027 10000000 500000 16 
